instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_daily,registered_daily,cnt_daily
5223,2011-08-10,Fall,2011,August,12,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.7273,0.38,0.2985,74,166,240,884,3896,4780
5224,2011-08-10,Fall,2011,August,13,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.7273,0.38,0.2836,41,150,191,884,3896,4780
5225,2011-08-10,Fall,2011,August,14,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.84,0.7273,0.34,0.3284,62,116,178,884,3896,4780
5226,2011-08-10,Fall,2011,August,15,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.86,0.7424,0.3,0.3284,53,141,194,884,3896,4780
5227,2011-08-10,Fall,2011,August,16,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.86,0.7424,0.26,0.2985,76,206,282,884,3896,4780
5228,2011-08-10,Fall,2011,August,17,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.84,0.7121,0.26,0.2985,71,513,584,884,3896,4780
5229,2011-08-10,Fall,2011,August,18,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.7121,0.28,0.2985,70,489,559,884,3896,4780
5230,2011-08-10,Fall,2011,August,19,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.26,0.2537,79,334,413,884,3896,4780
5231,2011-08-10,Fall,2011,August,20,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6667,0.31,0.1343,59,253,312,884,3896,4780
5232,2011-08-10,Fall,2011,August,21,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6667,0.33,0.1045,47,162,209,884,3896,4780
5233,2011-08-10,Fall,2011,August,22,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6515,0.37,0.0,17,122,139,884,3896,4780
5234,2011-08-10,Fall,2011,August,23,0,Wednesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6515,0.37,0.0896,14,94,108,884,3896,4780
5235,2011-08-11,Fall,2011,August,0,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6364,0.45,0.1045,6,40,46,812,3980,4792
5236,2011-08-11,Fall,2011,August,1,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6364,0.45,0.1343,9,17,26,812,3980,4792
5237,2011-08-11,Fall,2011,August,2,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.54,0.1343,3,8,11,812,3980,4792
5238,2011-08-11,Fall,2011,August,3,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6212,0.57,0.1343,2,7,9,812,3980,4792
5239,2011-08-11,Fall,2011,August,4,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6212,0.57,0.1642,1,4,5,812,3980,4792
5240,2011-08-11,Fall,2011,August,5,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6212,0.61,0.194,2,23,25,812,3980,4792
5241,2011-08-11,Fall,2011,August,6,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.6061,0.65,0.1642,5,101,106,812,3980,4792
5242,2011-08-11,Fall,2011,August,7,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.54,0.1343,15,292,307,812,3980,4792
5243,2011-08-11,Fall,2011,August,8,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6364,0.45,0.1642,29,361,390,812,3980,4792
5244,2011-08-11,Fall,2011,August,9,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6515,0.39,0.2239,31,166,197,812,3980,4792
5245,2011-08-11,Fall,2011,August,10,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6515,0.37,0.2537,36,96,132,812,3980,4792
5246,2011-08-11,Fall,2011,August,11,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6667,0.35,0.2537,59,128,187,812,3980,4792
5247,2011-08-11,Fall,2011,August,12,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.6818,0.31,0.2537,50,164,214,812,3980,4792
5248,2011-08-11,Fall,2011,August,13,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6667,0.31,0.2239,51,166,217,812,3980,4792
5249,2011-08-11,Fall,2011,August,14,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.29,0.0,39,103,142,812,3980,4792
5250,2011-08-11,Fall,2011,August,15,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.29,0.2985,52,126,178,812,3980,4792
5251,2011-08-11,Fall,2011,August,16,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.27,0.194,57,241,298,812,3980,4792
5252,2011-08-11,Fall,2011,August,17,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.29,0.2537,96,486,582,812,3980,4792
5253,2011-08-11,Fall,2011,August,18,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.6818,0.29,0.0896,74,497,571,812,3980,4792
5254,2011-08-11,Fall,2011,August,19,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6515,0.35,0.194,48,323,371,812,3980,4792
5255,2011-08-11,Fall,2011,August,20,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6515,0.37,0.1343,56,232,288,812,3980,4792
5256,2011-08-11,Fall,2011,August,21,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.48,0.0896,35,171,206,812,3980,4792
5257,2011-08-11,Fall,2011,August,22,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.48,0.0,34,123,157,812,3980,4792
5258,2011-08-11,Fall,2011,August,23,0,Thursday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.5,0.1642,22,105,127,812,3980,4792
5259,2011-08-12,Fall,2011,August,0,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6212,0.53,0.1642,12,53,65,1051,3854,4905
5260,2011-08-12,Fall,2011,August,1,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6212,0.53,0.1343,4,19,23,1051,3854,4905
5261,2011-08-12,Fall,2011,August,2,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.6212,0.57,0.194,0,15,15,1051,3854,4905
5262,2011-08-12,Fall,2011,August,3,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.6212,0.53,0.1642,0,9,9,1051,3854,4905
5263,2011-08-12,Fall,2011,August,4,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.6212,0.53,0.1343,0,5,5,1051,3854,4905
5264,2011-08-12,Fall,2011,August,5,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.6212,0.56,0.1343,2,24,26,1051,3854,4905
5265,2011-08-12,Fall,2011,August,6,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.6212,0.5,0.1343,3,73,76,1051,3854,4905
5266,2011-08-12,Fall,2011,August,7,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6212,0.44,0.1642,17,247,264,1051,3854,4905
5267,2011-08-12,Fall,2011,August,8,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.39,0.2239,29,397,426,1051,3854,4905
5268,2011-08-12,Fall,2011,August,9,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6515,0.34,0.1343,27,178,205,1051,3854,4905
5269,2011-08-12,Fall,2011,August,10,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6515,0.33,0.1045,44,86,130,1051,3854,4905
5270,2011-08-12,Fall,2011,August,11,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6667,0.29,0.0,48,108,156,1051,3854,4905
5271,2011-08-12,Fall,2011,August,12,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.27,0.0,55,167,222,1051,3854,4905
5272,2011-08-12,Fall,2011,August,13,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.6818,0.29,0.0896,74,179,253,1051,3854,4905
5273,2011-08-12,Fall,2011,August,14,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.29,0.194,51,135,186,1051,3854,4905
5274,2011-08-12,Fall,2011,August,15,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.29,0.1642,59,190,249,1051,3854,4905
5275,2011-08-12,Fall,2011,August,16,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.7121,0.28,0.0,68,266,334,1051,3854,4905
5276,2011-08-12,Fall,2011,August,17,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.7121,0.26,0.0,93,423,516,1051,3854,4905
5277,2011-08-12,Fall,2011,August,18,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6818,0.4,0.2985,89,376,465,1051,3854,4905
5278,2011-08-12,Fall,2011,August,19,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6667,0.42,0.2239,101,284,385,1051,3854,4905
5279,2011-08-12,Fall,2011,August,20,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6515,0.42,0.2239,77,210,287,1051,3854,4905
5280,2011-08-12,Fall,2011,August,21,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.48,0.1343,73,153,226,1051,3854,4905
5281,2011-08-12,Fall,2011,August,22,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.51,0.0,74,157,231,1051,3854,4905
5282,2011-08-12,Fall,2011,August,23,0,Friday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.51,0.0,51,100,151,1051,3854,4905
5283,2011-08-13,Fall,2011,August,0,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.51,0.1045,15,69,84,1504,2646,4150
5284,2011-08-13,Fall,2011,August,1,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.68,0.6364,0.57,0.0896,13,64,77,1504,2646,4150
5285,2011-08-13,Fall,2011,August,2,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.57,0.0,16,58,74,1504,2646,4150
5286,2011-08-13,Fall,2011,August,3,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.65,0.1343,9,18,27,1504,2646,4150
5287,2011-08-13,Fall,2011,August,4,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.6061,0.73,0.1343,5,5,10,1504,2646,4150
5288,2011-08-13,Fall,2011,August,5,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.73,0.1045,3,15,18,1504,2646,4150
5289,2011-08-13,Fall,2011,August,6,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.73,0.0896,3,19,22,1504,2646,4150
5290,2011-08-13,Fall,2011,August,7,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.66,0.6212,0.74,0.194,10,34,44,1504,2646,4150
5291,2011-08-13,Fall,2011,August,8,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.7,0.6515,0.65,0.1642,28,90,118,1504,2646,4150
5292,2011-08-13,Fall,2011,August,9,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.7,0.6667,0.74,0.1642,70,138,208,1504,2646,4150
5293,2011-08-13,Fall,2011,August,10,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.697,0.74,0.2239,97,163,260,1504,2646,4150
5294,2011-08-13,Fall,2011,August,11,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.74,0.697,0.7,0.194,122,192,314,1504,2646,4150
5295,2011-08-13,Fall,2011,August,12,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.66,0.5909,0.89,0.1642,175,246,421,1504,2646,4150
5296,2011-08-13,Fall,2011,August,13,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.74,0.7121,0.74,0.3284,61,92,153,1504,2646,4150
5297,2011-08-13,Fall,2011,August,14,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.697,0.7,0.2537,113,146,259,1504,2646,4150
5298,2011-08-13,Fall,2011,August,15,0,Saturday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.68,0.6364,0.79,0.3582,150,208,358,1504,2646,4150
5299,2011-08-13,Fall,2011,August,16,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.7,0.6667,0.74,0.2836,148,133,281,1504,2646,4150
5300,2011-08-13,Fall,2011,August,17,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.697,0.74,0.2537,97,172,269,1504,2646,4150
5301,2011-08-13,Fall,2011,August,18,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6667,0.74,0.2239,123,169,292,1504,2646,4150
5302,2011-08-13,Fall,2011,August,19,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.68,0.6364,0.79,0.2836,67,170,237,1504,2646,4150
5303,2011-08-13,Fall,2011,August,20,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.68,0.6364,0.83,0.2239,78,105,183,1504,2646,4150
5304,2011-08-13,Fall,2011,August,21,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.68,0.6364,0.83,0.3881,40,127,167,1504,2646,4150
5305,2011-08-13,Fall,2011,August,22,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.68,0.6364,0.83,0.3881,36,118,154,1504,2646,4150
5306,2011-08-13,Fall,2011,August,23,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.66,0.6061,0.83,0.3284,25,95,120,1504,2646,4150
5307,2011-08-14,Fall,2011,August,0,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.66,0.6061,0.83,0.2985,19,71,90,1338,2482,3820
5308,2011-08-14,Fall,2011,August,1,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.64,0.5758,0.89,0.2239,16,57,73,1338,2482,3820
5309,2011-08-14,Fall,2011,August,2,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.64,0.5758,0.89,0.2239,13,49,62,1338,2482,3820
5310,2011-08-14,Fall,2011,August,3,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.5606,0.94,0.2537,5,22,27,1338,2482,3820
5311,2011-08-14,Fall,2011,August,4,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.64,0.5606,0.94,0.194,1,2,3,1338,2482,3820
5312,2011-08-14,Fall,2011,August,5,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.5606,0.94,0.1642,1,9,10,1338,2482,3820
5313,2011-08-14,Fall,2011,August,6,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.5606,0.94,0.1045,2,4,6,1338,2482,3820
5314,2011-08-14,Fall,2011,August,7,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.66,0.5909,0.89,0.194,4,20,24,1338,2482,3820
5315,2011-08-14,Fall,2011,August,8,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.66,0.5909,0.89,0.2836,20,21,41,1338,2482,3820
5316,2011-08-14,Fall,2011,August,9,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.66,0.5909,0.89,0.2836,27,76,103,1338,2482,3820
5317,2011-08-14,Fall,2011,August,10,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6667,0.79,0.2239,67,116,183,1338,2482,3820
5318,2011-08-14,Fall,2011,August,11,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6667,0.79,0.194,81,117,198,1338,2482,3820
5319,2011-08-14,Fall,2011,August,12,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.7,0.6667,0.79,0.2239,98,183,281,1338,2482,3820
5320,2011-08-14,Fall,2011,August,13,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.697,0.74,0.2537,144,233,377,1338,2482,3820
5321,2011-08-14,Fall,2011,August,14,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.697,0.7,0.194,126,244,370,1338,2482,3820
5322,2011-08-14,Fall,2011,August,15,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.697,0.66,0.194,128,203,331,1338,2482,3820
5323,2011-08-14,Fall,2011,August,16,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.697,0.66,0.1642,116,176,292,1338,2482,3820
5324,2011-08-14,Fall,2011,August,17,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.7121,0.62,0.1343,133,196,329,1338,2482,3820
5325,2011-08-14,Fall,2011,August,18,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.697,0.66,0.1642,125,222,347,1338,2482,3820
5326,2011-08-14,Fall,2011,August,19,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.697,0.74,0.2239,75,184,259,1338,2482,3820
5327,2011-08-14,Fall,2011,August,20,0,Sunday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6667,0.84,0.1642,67,126,193,1338,2482,3820
5328,2011-08-14,Fall,2011,August,21,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.6,0.5455,0.88,0.4925,51,104,155,1338,2482,3820
5329,2011-08-14,Fall,2011,August,22,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.6,0.5455,0.88,0.4925,14,25,39,1338,2482,3820
5330,2011-08-14,Fall,2011,August,23,0,Sunday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.6,0.5606,0.83,0.0,5,22,27,1338,2482,3820
5331,2011-08-15,Fall,2011,August,0,0,Monday,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.6,0.5455,0.88,0.0896,7,18,25,775,3563,4338
5332,2011-08-15,Fall,2011,August,1,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.5455,0.88,0.1343,1,9,10,775,3563,4338
5333,2011-08-15,Fall,2011,August,2,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.5606,0.83,0.0,0,3,3,775,3563,4338
5334,2011-08-15,Fall,2011,August,3,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.5606,0.83,0.194,1,6,7,775,3563,4338
5335,2011-08-15,Fall,2011,August,4,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.5606,0.83,0.1343,1,4,5,775,3563,4338
5336,2011-08-15,Fall,2011,August,5,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.5455,0.88,0.194,3,14,17,775,3563,4338
5337,2011-08-15,Fall,2011,August,6,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.5455,0.88,0.2537,3,87,90,775,3563,4338
5338,2011-08-15,Fall,2011,August,7,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.5455,0.88,0.2537,10,248,258,775,3563,4338
5339,2011-08-15,Fall,2011,August,8,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.5909,0.78,0.3284,29,326,355,775,3563,4338
5340,2011-08-15,Fall,2011,August,9,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.5909,0.78,0.3284,52,170,222,775,3563,4338
5341,2011-08-15,Fall,2011,August,10,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.69,0.2836,54,87,141,775,3563,4338
5342,2011-08-15,Fall,2011,August,11,0,Monday,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.6818,0.62,0.2537,41,112,153,775,3563,4338
5343,2011-08-15,Fall,2011,August,12,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6818,0.58,0.2836,62,116,178,775,3563,4338
5344,2011-08-15,Fall,2011,August,13,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.7121,0.52,0.2836,53,140,193,775,3563,4338
5345,2011-08-15,Fall,2011,August,14,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6818,0.55,0.0896,56,95,151,775,3563,4338
5346,2011-08-15,Fall,2011,August,15,0,Monday,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.74,0.6818,0.55,0.2985,49,133,182,775,3563,4338
5347,2011-08-15,Fall,2011,August,16,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6818,0.55,0.3284,58,225,283,775,3563,4338
5348,2011-08-15,Fall,2011,August,17,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6667,0.51,0.2836,59,471,530,775,3563,4338
5349,2011-08-15,Fall,2011,August,18,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.65,0.194,70,413,483,775,3563,4338
5350,2011-08-15,Fall,2011,August,19,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.65,0.0,54,343,397,775,3563,4338
5351,2011-08-15,Fall,2011,August,20,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.74,0.1343,45,240,285,775,3563,4338
5352,2011-08-15,Fall,2011,August,21,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.65,0.194,34,150,184,775,3563,4338
5353,2011-08-15,Fall,2011,August,22,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.69,0.2537,22,76,98,775,3563,4338
5354,2011-08-15,Fall,2011,August,23,0,Monday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.69,0.2239,11,77,88,775,3563,4338
5355,2011-08-16,Fall,2011,August,0,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.69,0.1045,8,23,31,721,4004,4725
5356,2011-08-16,Fall,2011,August,1,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.69,0.1642,4,12,16,721,4004,4725
5357,2011-08-16,Fall,2011,August,2,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5909,0.73,0.2239,1,3,4,721,4004,4725
5358,2011-08-16,Fall,2011,August,3,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5909,0.73,0.2239,1,5,6,721,4004,4725
5359,2011-08-16,Fall,2011,August,4,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.69,0.2985,0,5,5,721,4004,4725
5360,2011-08-16,Fall,2011,August,5,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5909,0.73,0.2836,1,29,30,721,4004,4725
5361,2011-08-16,Fall,2011,August,6,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5909,0.73,0.3284,4,115,119,721,4004,4725
5362,2011-08-16,Fall,2011,August,7,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.69,0.2537,18,328,346,721,4004,4725
5363,2011-08-16,Fall,2011,August,8,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.58,0.4478,24,417,441,721,4004,4725
5364,2011-08-16,Fall,2011,August,9,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.61,0.2836,27,171,198,721,4004,4725
5365,2011-08-16,Fall,2011,August,10,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.58,0.3881,28,83,111,721,4004,4725
5366,2011-08-16,Fall,2011,August,11,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6667,0.51,0.2239,40,110,150,721,4004,4725
5367,2011-08-16,Fall,2011,August,12,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6818,0.48,0.3284,42,120,162,721,4004,4725
5368,2011-08-16,Fall,2011,August,13,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6818,0.48,0.2985,45,147,192,721,4004,4725
5369,2011-08-16,Fall,2011,August,14,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6818,0.45,0.4179,65,117,182,721,4004,4725
5370,2011-08-16,Fall,2011,August,15,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.7121,0.41,0.2985,36,123,159,721,4004,4725
5371,2011-08-16,Fall,2011,August,16,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.7121,0.41,0.2239,55,248,303,721,4004,4725
5372,2011-08-16,Fall,2011,August,17,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6818,0.45,0.3284,75,525,600,721,4004,4725
5373,2011-08-16,Fall,2011,August,18,0,Tuesday,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6818,0.45,0.2239,54,516,570,721,4004,4725
